InvoiceId,TrackId,Track_Name
1,2,Balls to the Wall
1,4,Restless and Wild
2,6,Put The Finger On You
2,8,Inject The Venom
2,10,Evil Walks
2,12,Breaking The Rules
3,16,Dog Eat Dog
3,20,Overdose
3,24,Love In An Elevator
3,28,Janie's Got A Gun
3,32,Deuces Are Wild
3,36,Angel
4,42,Right Through You
4,48,Not The Doctor
4,54,Bleed The Freak
4,60,Confusion
4,66,Por Causa De Você
4,72,Angela
4,78,Master Of Puppets
4,84,Welcome Home (Sanitarium)
4,90,Set It Off
5,99,Your Time Has Come
5,108,Dandelion
5,117,Rock 'N' Roll Music
5,126,Moon germs
5,135,Super Terrorizer
5,144,Heart Of Gold
5,153,Evil Woman
5,162,Cornucopia
5,171,Bowels Of The Devil
5,180,Body Count Anthem
5,189,Jerusalem
5,198,When My Left Eye Jumps
5,207,Meditação
5,216,Esse Cara
6,230,"Bye, Bye Brasil"
7,231,Atras Da Porta
7,232,Tatuagem
8,234,Morena De Angola
8,236,A Banda
9,238,Com Açúcar E Com Afeto
9,240,Meu Caro Amigo
9,242,Trocando Em Miúdos
9,244,Gota D'água
10,248,Etnia
10,252,Samba Do Lado
10,256,Sobremesa
10,260,Sangue De Bairro
10,264,Amor De Muito
10,268,Maracatu Atômico [Trip Hop]
11,274,Samba Makossa
11,280,Lixo Do Mangue
11,286,Firmamento
11,292,Já Foi
11,298,A Cor Do Sol
11,304,Firmamento
11,310,Sábado A Noite
11,316,Linha Do Equador
11,322,Livre Pra Viver
12,331,Lavadeira
12,340,Dazed and Confused
12,349,You Shook Me(2)
12,358,Man With The Woman Head
12,367,Leandro De Itaquera 2001
12,376,Vôo Sobre o Horizonte
12,385,All Star
12,394,Tanto Tempo
12,403,Bumbo Da Mangueira
12,412,Die Die My Darling
12,421,Radio GA GA
12,430,I'm Going Slightly Mad
12,439,Sure Know Something
12,448,God Of Thunder
13,462,Valentino's
14,463,Believe
14,464,As We Sleep
15,466,J Squared
15,468,Maria
16,470,Longview
16,472,Basket Case
16,474,She
16,476,Geek Stink Breath
17,480,Stuck With Me
17,484,Nice Guys Finish Last
17,488,Macy's Day Parade
17,492,Don't You Cry
17,496,Living On Love
17,500,Wherever You May Go
18,506,"Diga Lá, Coração"
18,512,Comportamento Geral
18,518,Podres Poderes
18,524,Queixa
18,530,Ando Meio Desligado
18,536,Vida De Cachorro
18,542,Meu Refrigerador Não Funciona
18,548,Smoke On The Water
18,554,Trampled Under Foot
19,563,União Da Ilha
19,572,Put Your Lights On
19,581,Primavera
19,590,Seis Da Tarde
19,599,Compulsion
19,608,The Pan Piper
19,617,Jean Pierre (Live)
19,626,Drum Boogie
19,635,Lemon Drop
19,644,Showcase
19,653,Como É Duro Trabalhar
19,662,Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)
19,671,As Rosas Não Falam (Beth Carvalho)
19,680,Green River
20,694,Someday Never Comes
21,695,Walking On The Water
21,696,"Suzie-Q, Pt. 2"
22,698,Good Golly Miss Molly
22,700,Wrote A Song For Everyone
23,702,Cotton Fields
23,704,Don't Look Now
23,706,Before You Accuse Me
23,708,Pagan Baby
24,712,Born To Move
24,716,Brasil
24,720,Coroné Antonio Bento
24,724,Música Urbana 2
24,728,Woman Is The Nigger Of The World (Ao Vivo)
24,732,Smells Like Teen Spirit (Ao Vivo)
25,738,Admirável Gado Novo
25,744,Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)
25,750,Drifter
25,756,Child In Time
25,762,No No No
25,768,Knocking At Your Back Door
25,774,The Unwritten Law
25,780,Maybe I'm A Leo
25,786,Vavoom : Ted The Mechanic
26,795,Hey Cisco
26,804,Fortuneteller
26,813,High Ball Shooter
26,822,A Twist In The Tail
26,831,Animal
26,840,Hysteria
26,849,"Baltimore, DC"
26,858,Esquinas
26,867,Açai
26,876,Um Amor Puro
26,885,Fascinação
26,894,Sunshine Of Your Love
26,903,Lay Down Sally
26,912,Tears In Heaven
27,926,Naked In Front Of The Computer
28,927,Helpless
28,928,Mouth To Mouth
29,930,She Loves Me Not
29,932,Paths Of Glory
30,934,Pristina
30,936,Caffeine
30,938,RV
30,940,Everything's Ruined
31,944,A Small Victory
31,948,Easy
31,952,The Gentle Art Of Making Enemies
31,956,Ugly In The Morning
31,960,What A Day
31,964,From Out Of Nowhere
32,970,Underwater Love
32,976,Falamansa Song
32,982,Avisa
32,988,Desaforo
32,994,The Last Song
32,1000,What If I Do?
32,1006,Virginia Moon
32,1012,Times Like These
32,1018,Burn Away
33,1027,See You
33,1036,I Get A Kick Out Of You
33,1045,Fly Me To The Moon
33,1054,Mack The Knife
33,1063,Funk Hum
33,1072,Forty Days Instrumental
33,1081,Pau-De-Arara
33,1090,Stir It Up (Live)
33,1099,A Novidade (Live)
33,1108,Realce
33,1117,Aquele Abraço
33,1126,Re-Align
33,1135,Holiday
33,1144,Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again
34,1158,Right Next Door to Hell
35,1159,Dust N' Bones
35,1160,Live and Let Die
36,1162,Perfect Crime
36,1164,Bad Obsession
37,1166,Double Talkin' Jive
37,1168,The Garden
37,1170,Don't Damn Me
37,1172,Dead Horse
38,1176,Yesterdays
38,1180,Breakdown
38,1184,Estranged
38,1188,Colibri
38,1192,L'Arc En Ciel De Miles
38,1196,Millenium
39,1202,These Colours Don't Run
39,1208,For the Greater Good of God
39,1214,Prowler
39,1220,Run To The Hilss
39,1226,Can I Play With Madness
39,1232,Heaven Can Wait
39,1238,Blood Brothers
39,1244,The Thin Line Between Love & Hate
39,1250,Gates Of Tomorrow
40,1259,Fear Is The Key
40,1268,01 - Prowler
40,1277,The Ides Of March
40,1286,Drifter
40,1295,The Number Of The Beast
40,1304,Phantom Of The Opera
40,1313,Afraid To Shoot Strangers
40,1322,The Trooper
40,1331,Run Silent Run Deep
40,1340,Still Life
40,1349,Back in the Village
40,1358,Blood Brothers
40,1367,The Number Of The Beast
40,1376,The Prophecy
41,1390,Hallowed Be Thy Name
42,1391,Invaders
42,1392,Run to the Hills
43,1394,The Prisoner
43,1396,Lord Of The Flies
44,1398,Fortunes Of War
44,1400,The Aftermath
44,1402,Blood On The World's Hands
44,1404,2 A.M.
45,1408,Lightning Strikes Twice
45,1412,Don't Look To The Eyes Of A Stranger
45,1416,Night Train
45,1420,It's A Man's Man's Man's World
45,1424,Hey America
45,1428,Get Up Offa That Thing
46,1434,When You Gonna Learn (Digeridoo)
46,1440,"Whatever It Is, I Just Can't Stop"
46,1446,Black Capricorn Day
46,1452,Were Do We Go From Here
46,1458,Light Years
46,1464,Morning Glory
46,1470,Get What You Need
46,1476,Take It Or Leave It
46,1482,Can You See Me
47,1491,Stone Free
47,1500,Satch Boogie
47,1509,Salve Simpatia
47,1518,Filho Maravilha
47,1527,Dance Enquanto é Tempo
47,1536,Voce Inteira
47,1545,Enquanto O Dia Não Vem
47,1554,Turbo Lover
47,1563,Plaster Caster
47,1572,Every Time I Look At You
47,1581,Dazed And Confused
47,1590,Walter's Walk
47,1599,Dancing Days
47,1608,All My Love
48,1622,Your Time Is Gonna Come
49,1623,Black Mountain Side
49,1624,Communication Breakdown
50,1626,How Many More Times
50,1628,What Is And What Should Never Be
51,1630,Thank You
51,1632,Living Loving Maid (She's Just A Woman)
51,1634,Moby Dick
51,1636,Immigrant Song
52,1640,Out On The Tiles
52,1644,Bron-Y-Aur Stomp
52,1648,Down By The Seaside
52,1652,Boogie With Stu
52,1656,For Your Life
52,1660,Hots On For Nowhere
53,1666,Dazed And Confused
53,1672,L'Avventura
53,1678,Soul Parsifal
53,1684,Quando Você Voltar
53,1690,Tempo Perdido
53,1696,Meninos E Meninas
53,1702,Are You Gonna Go My Way
53,1708,Mr. Cab Driver
53,1714,Believe
54,1723,Condição
54,1732,Aquilo
54,1741,Assaltaram A Gramática
54,1750,Waterhole (Expresso Bongo)
54,1759,Tempos Modernos
54,1768,Dança Da Solidão
54,1777,When I Had Your Love
54,1786,Save The Children
54,1795,Down by the Sea
54,1804,The Unforgiven
54,1813,Helpless
54,1822,Stone Cold Crazy
54,1831,Motorbreath
54,1840,2 X 4
55,1854,Master Of Puppets
56,1855,The Thing That Should Not Be
56,1856,Welcome Home (Sanitarium)
57,1858,Leper Messiah
57,1860,Damage Inc.
58,1862,The Memory Remains
58,1864,The Unforgiven II
58,1866,Slither
58,1868,Bad Seed
59,1872,Attitude
59,1876,For Whom The Bell Tolls
59,1880,Creeping Death
59,1884,Some Kind Of Monster
59,1888,Shoot Me Again
59,1892,All Within My Hands
60,1898,Harvester Of Sorrow
60,1904,The Duke
60,1910,Lament
60,1916,Coração De Estudante
60,1922,Menestrel Das Alagoas
60,1928,"Maria, Maria"
60,1934,Ponta de Areia
60,1940,Norwegian Wood
60,1946,Fast And Loose
61,1955,Please Don't Touch
61,1964,Já Foi
61,1973,Wild Side
61,1982,Primal Scream
61,1991,Been A Son
61,2000,Breed
61,2009,Territorial Pissings
61,2018,Folhas Secas
61,2027,Menino De Rua
61,2036,Denúncia
61,2045,O Trem Da Juventude
61,2054,Selvagem
61,2063,Nebulosa Do Amor
61,2072,Luis Inacio (300 Picaretas)
62,2086,Perplexo
63,2087,Me Liga
63,2088,Quase Um Segundo
64,2090,Romance Ideal
64,2092,SKA
65,2094,I Don't Know
65,2096,Flying High Again
65,2098,No More Tears
65,2100,Crazy Train
66,2104,Relvelation (Mother Earth)
66,2108,Children Of The Grave
66,2112,Dee
66,2116,Blue Train
66,2120,Walking Into Clarksdale
66,2124,Sons Of Freedom
67,2130,Beach Sequence
67,2136,Plot 180
67,2142,Murders In The Rue Morgue
67,2148,Iron Maiden
